Ori,English,China,Thailand,Vietnam
Fullname,Fullname,名字和姓氏,ชื่อ-นามสกุล,Họ và tên
General,General,概述,ทั่วไป,Tổng quan
Gold,Gold,金级,Gold,Gold
Grand Total,Grand Total,总计,ยอดรวมทั้งหมด,Tổng cộng
_GroupSales,Group Sales,团队业绩,Group Sales,Group Sales
IC No/ Company Reg No,IC No/ Company Reg No,身份证号码/商业登记号码,เลขบัตรประชาชน,Số CMND/ Số đăng ký kinh doanh
Information,Information,信息,รายละเอียด,Thông tin
Kindly bank in to this account. ,Kindly bank in to this account. ,请将钱转入此账户,โอนเข้าบัญชีนี้,Vui lòng chuyển khoản vào tài khoản này
Left,Left,左,Left,Left
Last month,Last month,上个月,เดือนก่อน,Tháng trước
Line 1,Line 1,1号线,Line 1,Dòng 1
Line 2,Line 2,2号线,Line 2,Dòng 2
Login,Login,登录,เข้าสู่ระบบ,Đăng nhập
Logout,Logout,退出,ออกจากระบบ,Đăng xuất
Merchant,Merchant,商家,ร้านค้า,Thương gia
"Notice: Your IC No/ Company Register No not presented, please update at profile. ","Notice: Your IC No/ Company Register No not presented, please update at profile. ",注意：未提供您的身份证/商业登记号码，请在您的个人资料中更新。,แจ้งเตือน: เลขบัตรประชาชน/เลขนิติบุคคลไม่ถูกต้อง โปรดอัพเดทใหม่,"Lưu ý: Số CMND/số đăng ký kinh doanh của bạn không được cung cấp, vui lòng cập nhật nó trong hồ sơ của bạn."
Password,Password,密码,รหัสผ่าน,Mật khẩu
Payment Method,Payment Method,支付方式,รูปแบบชำระเงิน,Phương thức thanh toán
Personal,Personal,个人,ส่วนตัว,Cá nhân
_Performance,Performance,团队系图表,Performance,Performance
Phone,Phone,电话,โทร.,Điện thoại
Placement,Placement,安置系图,จัดวาง,Bố trí
Placement Position,Placement Position,安置位置,ตำแหน่งที่จัดวาง,Vị trí bố trí
Please update your IC No/Company Registration No,Please update your IC No/Company Registration No,请更新您的身份证号码/商业登记号码,โปรดอัพเดทเลขบัตรประชน/เลขนิติบุคคลใหม่,Vui lòng cập nhật số CMND/Số đăng ký kinh doanh của bạn
Postcode,Postcode,邮政编码,รหัสไปรษณีย์,Mã bưu điện
_position,Position,位置,Position,Position
Re-entry,Re-entry,重复消费,สั่งซื้อซ้ำ,Mua hàng lặp lại
Recipient Details,Recipient Details,收件人信息,ผู้รับ,Thông tin người nhận
Redeem,Redeem,兑换产品,แลกสินค้า/รางวัล,Đổi sản phẩm
Referal,Referal,直属系图,แนะนำ,Giới thiệu
_Register,Register,注册,ลงทะเบียน,Đăng ký
Register Point,Register Point,注册积分,คะแนน RP,Đăng ký tích điểm
Register Wallet,Register Wallet,注册钱包,วอลเลทลงทะเบียนใหม่,Đăng ký ví
Registration Details,Registration Details,注册详情,ข้อมูลผู้ลงทะเบียนใหม่,Chi tiết đăng ký
Right,Right,右,Right,Right
_Sales,Sales,业绩,Sales,Sales
Sales History,Sales History,销售历史,ประวัติยอดขาย,Lịch sử bán hàng
_Search,Search,搜索,Search,Search
Self Pick Up,Self Pick Up,自提,รับด้วยตัวเอง,Tự nhận hàng
Shipping Fee,Shipping,运费,จัดส่ง,Chi phí vận chuyển
Shipping,Shipping,运输,จัดส่ง,Vận chuyển
Shipping Details,Shipping Details,送货细节,รายละเอียดจัดส่ง,Chi tiết vận chuyển
Silver,Silver,银级,Silver,Silver
Sponsor Username,Sponsor Username,推荐人用户名,ยูสเซอร์เนมผู้สปอนเซอร์,Tên người giới thiệu
_sponsor,Sponsor,推荐人,Sponsor,Sponsor
State,State,省,จังหวัด,Trang chủ
Subtotal,Subtotal,小计,ยอดรวม,Tổng số phụ
_Summary,Summary,概括,สรุป,Bản tổng hợp
Team Bonus Summary,Team Bonus Summary,团队奖,สรุปโบนัสบริหารทีม,Tiền thưởng đội nhóm
This month,This month,这个月,เดือนปัจจุบัน,Tháng này
_Topup,Topup,充值,ท๊อปอัพ,Nạp tiền
Total PV,Total PV,总PV,ยอดรวม PV,Tổng PV
_Transaction,Transaction,交易,Transaction,Transaction
Upgrade,Upgrade,升级,อัพเกรด,Nâng cấp
Username,Username,用户名,ยูสเซอร์เนม,Tên tài khoản
Username,Username,帐户名称,ยูสเซอร์เนม,Tên tài khoản
_Wallet,Wallet,钱包,วอลเลท,Ví tiền
Welcome,Welcome,欢迎,ยินดีต้อนรับ,Chào mừng
_Withdraw,Withdraw,提现,ถอนเงินโบนัส,Rút tiền
Withdrawal_Request,Withdrawal Request,申请提现,Withdrawal Request,Withdrawal Request
_Withdrawal,Withdrawal,提现,ถอนเงินโบนัส,Rút tiền
linkRegister,linkRegister,linkRegister,linkRegister,linkRegister
